section,type,field,party,candidate,got,expected,comment
162202040,preferences,candidate,18,108,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,18,109,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,18,111,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,18,112,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,18,123,MISSING,total=0 paper=0 machine=0,missing_data
162202040,preferences,candidate,18,124,MISSING,total=0 paper=0 machine=0,missing_data
162202040,preferences,candidate,18,Без,total=0 paper=0 machine=0,total=71 paper=71 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,26,123,MISSING,total=0 paper=0 machine=0,missing_data
162202040,preferences,candidate,26,124,MISSING,total=0 paper=0 machine=0,missing_data
162202040,preferences,candidate,26,Без,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202040,preferences,candidate,28,Без,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,protocol,unused_ballots,,,538,534,likely_ocr: single digit differs
162202047,protocol,valid_votes_paper,,,,56,non_numeric
162202047,votes,party_votes,12,,total=2 paper=1 machine=1,total=3 paper=2 machine=1,likely_ocr: single digit differs
162202047,votes,party_votes,17,,total=0 paper=0 machine=0,total=3 paper=3 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,votes,party_votes,18,,total=0 paper=0 machine=0,total=32 paper=32 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,votes,party_votes,28,,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,preferences,candidate,8,Без,total=0 paper=0 machine=0,total=10 paper=10 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,preferences,candidate,12,Без,total=0 paper=0 machine=0,total=3 paper=2 machine=1,likely_ocr: value missed (read as 0/empty)
162202047,preferences,candidate,13,123,MISSING,total=0 paper=0 machine=0,missing_data
162202047,preferences,candidate,13,124,MISSING,total=0 paper=0 machine=0,missing_data
162202047,preferences,candidate,13,Без,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,preferences,candidate,17,Без,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,preferences,candidate,18,123,MISSING,total=0 paper=0 machine=0,missing_data
162202047,preferences,candidate,18,124,MISSING,total=0 paper=0 machine=0,missing_data
162202047,preferences,candidate,18,Без,total=0 paper=0 machine=0,total=25 paper=25 machine=0,likely_ocr: value missed (read as 0/empty)
162202047,preferences,candidate,26,123,MISSING,total=0 paper=0 machine=0,missing_data
162202047,preferences,candidate,26,124,MISSING,total=0 paper=0 machine=0,missing_data
162202047,preferences,candidate,28,Без,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
