26;010100001;15;119;0;0;0
26;010100001;15;120;0;0;0
26;010100001;15;121;0;0;0
26;010100001;15;122;0;0;0
26;010100001;16;Без;0;0;0
26;010100001;16;101;0;0;0
26;010100001;16;102;0;0;0
26;010100001;16;103;0;0;0
26;010100001;16;104;0;0;0
26;010100001;16;105;0;0;0
26;010100001;16;106;0;0;0
26;010100001;16;107;0;0;0
26;010100001;16;108;0;0;0
26;010100001;16;109;0;0;0
26;010100001;16;110;0;0;0
26;010100001;16;111;0;0;0
26;010100001;16;112;0;0;0
26;010100001;16;113;0;0;0
26;010100001;16;114;0;0;0
26;010100001;16;115;0;0;0
26;010100001;16;116;0;0;0
26;010100001;16;117;0;0;0
26;010100001;16;118;0;0;0
26;010100001;16;119;0;0;0
26;010100001;16;120;0;0;0
26;010100001;16;121;0;0;0
26;010100001;16;122;0;0;0
26;010100001;17;Без;6;0;6
26;010100001;17;101;1;0;1
26;010100001;17;102;0;0;0
26;010100001;17;103;0;0;0
26;010100001;17;104;0;0;0
26;010100001;17;105;1;0;1
26;010100001;17;106;0;0;0
26;010100001;17;107;0;0;0
26;010100001;17;108;0;0;0
26;010100001;17;109;1;0;1
26;010100001;17;110;1;0;1
26;010100001;17;111;0;0;0
26;010100001;17;112;0;0;0
26;010100001;17;113;0;0;0
26;010100001;17;114;0;0;0
26;010100001;17;115;0;0;0
26;010100001;17;116;0;0;0
26;010100001;17;117;0;0;0
26;010100001;17;118;0;0;0
26;010100001;17;119;0;0;0
26;010100001;17;120;0;0;0
26;010100001;17;121;0;0;0
26;010100001;17;122;0;0;0
26;010100001;18;Без;11;7;4
26;010100001;18;101;3;1;2
26;010100001;18;102;3;1;2
26;010100001;18;103;1;0;1
26;010100001;18;104;5;4;1
26;010100001;18;105;21;13;8
26;010100001;18;106;0;0;0
26;010100001;18;107;68;42;26
26;010100001;18;108;1;1;0
26;010100001;18;109;0;0;0
26;010100001;18;110;0;0;0
26;010100001;18;111;1;0;1
26;010100001;18;112;0;0;0
26;010100001;18;113;0;0;0
26;010100001;18;114;0;0;0
26;010100001;18;115;0;0;0
26;010100001;18;116;0;0;0
26;010100001;18;117;0;0;0
26;010100001;18;118;1;1;0
26;010100001;18;119;0;0;0
26;010100001;18;120;0;0;0
26;010100001;18;121;0;0;0
26;010100001;18;122;2;2;0
26;010100001;19;Без;1;0;1
26;010100001;19;101;0;0;0
26;010100001;19;102;0;0;0
26;010100001;19;103;0;0;0
26;010100001;19;104;0;0;0
26;010100001;19;105;0;0;0
26;010100001;19;106;0;0;0
26;010100001;19;107;0;0;0
26;010100001;19;108;0;0;0
26;010100001;19;109;0;0;0
26;010100001;19;110;0;0;0
26;010100001;19;111;0;0;0
26;010100001;19;112;0;0;0
26;010100001;19;113;0;0;0
26;010100001;19;114;0;0;0
26;010100001;19;115;0;0;0
26;010100001;19;116;0;0;0
26;010100001;19;117;0;0;0
26;010100001;19;118;0;0;0
26;010100001;19;119;0;0;0
26;010100001;19;120;0;0;0
26;010100001;19;121;0;0;0
26;010100001;19;122;0;0;0
26;010100001;20;Без;0;0;0
26;010100001;20;101;0;0;0
26;010100001;20;102;0;0;0
26;010100001;20;103;0;0;0
26;010100001;20;104;0;0;0
26;010100001;20;105;0;0;0
26;010100001;20;106;0;0;0
26;010100001;20;107;0;0;0
26;010100001;20;108;0;0;0
26;010100001;20;109;0;0;0
26;010100001;20;110;0;0;0
26;010100001;20;111;0;0;0
26;010100001;20;112;0;0;0
26;010100001;20;113;0;0;0
26;010100001;20;114;0;0;0
26;010100001;20;115;0;0;0
26;010100001;20;116;0;0;0
26;010100001;20;117;0;0;0
26;010100001;20;118;0;0;0
26;010100001;20;119;0;0;0
26;010100001;20;120;0;0;0
26;010100001;20;121;0;0;0
26;010100001;20;122;0;0;0
26;010100001;21;Без;1;1;0
26;010100001;21;101;0;0;0
26;010100001;21;102;0;0;0
26;010100001;21;103;0;0;0
26;010100001;21;104;0;0;0
26;010100001;21;105;0;0;0
26;010100001;21;106;0;0;0
26;010100001;21;107;0;0;0
26;010100001;21;108;0;0;0
26;010100001;21;109;0;0;0
26;010100001;21;110;0;0;0
26;010100001;21;111;0;0;0
26;010100001;21;112;0;0;0
26;010100001;21;113;0;0;0
26;010100001;21;114;0;0;0
26;010100001;21;115;0;0;0
26;010100001;21;116;0;0;0
26;010100001;21;117;0;0;0
26;010100001;21;118;0;0;0
26;010100001;21;119;0;0;0
26;010100001;21;120;0;0;0
26;010100001;21;121;0;0;0
26;010100001;21;122;0;0;0
26;010100001;22;Без;1;1;0
26;010100001;22;101;0;0;0
26;010100001;22;102;0;0;0
26;010100001;22;103;0;0;0
26;010100001;22;104;0;0;0
26;010100001;22;105;0;0;0
26;010100001;22;106;0;0;0
26;010100001;22;107;0;0;0
26;010100001;22;108;0;0;0
26;010100001;22;109;0;0;0
26;010100001;22;110;0;0;0
